Date;Time;Temp;Indice UV;UV REF;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:28:40 a. m.;-127;3925;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:28:42 a. m.;24,31;2465;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:28:44 a. m.;-127;3593;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:28:46 a. m.;24,31;2934;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:28:48 a. m.;24,31;3076;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:28:50 a. m.;24,25;3999;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:28:52 a. m.;24,25;2587;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:28:54 a. m.;24,25;3120;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:28:56 a. m.;24,25;3627;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:28:58 a. m.;24,31;2416;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:29:00 a. m.;24,25;3071;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:29:02 a. m.;24,25;3515;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:29:04 a. m.;24,25;2412;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:29:06 a. m.;24,25;3061;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:29:08 a. m.;24,25;2724;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:29:10 a. m.;-127;3110;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:29:12 a. m.;24,25;3969;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:29:14 a. m.;24,25;2680;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:29:16 a. m.;24,25;2919;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:29:18 a. m.;-127;3432;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:29:20 a. m.;24,25;3945;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:29:22 a. m.;24,25;2446;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:29:24 a. m.;24,25;3095;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:29:26 a. m.;24,25;2670;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:29:28 a. m.;24,19;3120;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:29:30 a. m.;24,19;4008;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:29:32 a. m.;24,19;2597;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:29:34 a. m.;24,19;3198;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:29:36 a. m.;24,19;3989;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:29:38 a. m.;24,19;2641;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:29:40 a. m.;24,19;3173;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:29:42 a. m.;24,19;3979;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:29:44 a. m.;24,19;2612;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:29:47 a. m.;24,19;3056;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:29:49 a. m.;24,13;3808;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:29:51 a. m.;24,13;2460;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:29:53 a. m.;24,19;3164;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:29:55 a. m.;-127;3505;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:29:57 a. m.;-127;2421;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:29:59 a. m.;-127;2534;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:30:01 a. m.;24,13;2905;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:30:03 a. m.;24,13;3837;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:30:05 a. m.;24,13;2583;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:30:07 a. m.;24,13;3051;3305,66;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:30:09 a. m.;24,13;3173;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:30:11 a. m.;24,13;2641;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:30:13 a. m.;24,13;3750;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:30:15 a. m.;24,13;2758;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:30:17 a. m.;24,13;3076;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:30:19 a. m.;24,13;3652;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:30:21 a. m.;24,13;2387;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:30:23 a. m.;24,13;3188;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:30:25 a. m.;24,13;3139;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:30:27 a. m.;24,13;2890;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:30:29 a. m.;24,13;3945;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:30:31 a. m.;-127;2578;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:30:33 a. m.;24,06;3061;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:30:35 a. m.;24,06;3588;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:30:37 a. m.;24,06;2377;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:30:39 a. m.;24,06;3232;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:30:41 a. m.;24,06;2905;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:30:43 a. m.;24,06;2998;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:30:45 a. m.;24,06;3110;3305,66;;;;;;;;;;;;;;;;;;;;;
