VARIABLE1,REGISTRO,DATE,Temp
1,231,20-4-2018 10:33:37,23.94
1,232,20-4-2018 10:33:39,23.94
1,233,20-4-2018 10:33:41,23.94
1,234,20-4-2018 10:33:43,23.94
1,235,20-4-2018 10:33:45,23.94
1,236,20-4-2018 10:33:47,23.94
1,237,20-4-2018 10:33:49,23.94
1,238,20-4-2018 10:33:51,-127
1,239,20-4-2018 10:33:53,23.94
1,240,20-4-2018 10:33:55,23.94
1,241,20-4-2018 10:33:57,23.94
1,242,20-4-2018 10:33:59,23.94
1,243,20-4-2018 10:34:01,23.94
1,244,20-4-2018 10:34:03,23.94
1,245,20-4-2018 10:34:05,23.94
1,246,20-4-2018 10:34:07,23.94
1,247,20-4-2018 10:34:09,23.94
1,248,20-4-2018 10:34:11,23.94
1,249,20-4-2018 10:34:13,23.94
1,250,20-4-2018 10:34:15,23.94
1,251,20-4-2018 10:34:17,-127
1,252,20-4-2018 10:34:19,23.94
1,253,20-4-2018 10:34:21,23.94
1,254,20-4-2018 10:34:23,23.94
1,255,20-4-2018 10:34:25,23.94
1,256,20-4-2018 10:34:27,23.94
1,257,20-4-2018 10:34:29,23.94
1,258,20-4-2018 10:34:31,23.94
1,259,20-4-2018 10:34:33,23.94
1,260,20-4-2018 10:34:35,23.94
1,261,20-4-2018 10:34:37,23.94
1,262,20-4-2018 10:34:39,23.94
1,263,20-4-2018 10:34:41,23.94
1,264,20-4-2018 10:34:43,23.94
1,265,20-4-2018 10:34:45,23.94
1,266,20-4-2018 10:34:47,24
1,267,20-4-2018 10:34:49,23.94
1,268,20-4-2018 10:34:51,23.94
1,269,20-4-2018 10:34:53,23.94
1,270,20-4-2018 10:34:55,23.94
1,271,20-4-2018 10:34:57,23.94
1,272,20-4-2018 10:34:59,23.94
1,273,20-4-2018 10:35:01,23.94
1,274,20-4-2018 10:35:03,23.94
1,275,20-4-2018 10:35:05,23.94
1,276,20-4-2018 10:35:07,-127
1,277,20-4-2018 10:35:09,23.94
1,278,20-4-2018 10:35:11,23.94
1,279,20-4-2018 10:35:13,23.94
1,280,20-4-2018 10:35:15,23.94
1,281,20-4-2018 10:35:17,23.94
1,282,20-4-2018 10:35:20,23.94
1,283,20-4-2018 10:35:22,23.94
1,284,20-4-2018 10:35:24,23.94
1,285,20-4-2018 10:35:26,23.94
1,286,20-4-2018 10:35:28,23.94
1,287,20-4-2018 10:35:30,23.94
1,288,20-4-2018 10:35:32,23.94
1,289,20-4-2018 10:35:34,23.94
1,290,20-4-2018 10:35:36,23.94
1,291,20-4-2018 10:35:38,23.94
1,292,20-4-2018 10:35:40,-127
1,293,20-4-2018 10:35:42,23.94
1,294,20-4-2018 10:35:44,23.94
1,295,20-4-2018 10:35:46,23.94
1,296,20-4-2018 10:35:48,23.94
1,297,20-4-2018 10:35:50,23.94
1,298,20-4-2018 10:35:52,23.94
1,299,20-4-2018 10:35:54,23.94
1,300,20-4-2018 10:35:56,23.94
1,301,20-4-2018 10:35:58,23.94
1,302,20-4-2018 10:36:00,-127
1,303,20-4-2018 10:36:02,-127
1,304,20-4-2018 10:36:04,23.94
1,305,20-4-2018 10:36:06,23.94
1,306,20-4-2018 10:36:08,23.94
1,307,20-4-2018 10:36:10,23.94
1,308,20-4-2018 10:36:12,23.94
1,309,20-4-2018 10:36:14,23.94
1,310,20-4-2018 10:36:16,23.94
1,311,20-4-2018 10:36:18,23.94
1,312,20-4-2018 10:36:20,23.94
1,313,20-4-2018 10:36:22,-127
1,314,20-4-2018 10:36:24,23.94
1,315,20-4-2018 10:36:26,23.94
1,316,20-4-2018 10:36:28,23.94
1,317,20-4-2018 10:36:30,23.94
1,318,20-4-2018 10:36:32,23.94
1,319,20-4-2018 10:36:34,23.94
1,320,20-4-2018 10:36:36,23.94
1,321,20-4-2018 10:36:38,23.94
1,322,20-4-2018 10:36:40,-127
1,323,20-4-2018 10:36:42,23.94
1,324,20-4-2018 10:36:44,23.94
1,325,20-4-2018 10:36:46,23.88
1,326,20-4-2018 10:36:48,23.94
1,327,20-4-2018 10:36:50,23.88
1,328,20-4-2018 10:36:52,23.94
1,329,20-4-2018 10:36:54,23.94
1,330,20-4-2018 10:36:56,23.94
1,331,20-4-2018 10:36:58,23.94
1,332,20-4-2018 10:37:01,23.94
1,333,20-4-2018 10:37:03,23.94
1,334,20-4-2018 10:37:05,23.94
1,335,20-4-2018 10:37:07,23.94
1,336,20-4-2018 10:37:09,23.94
1,337,20-4-2018 10:37:11,23.94
1,338,20-4-2018 10:37:13,23.94
1,339,20-4-2018 10:37:15,-127
1,340,20-4-2018 10:37:17,-127
1,341,20-4-2018 10:37:19,24
1,342,20-4-2018 10:37:21,24
1,343,20-4-2018 10:37:23,24
1,344,20-4-2018 10:37:25,24
1,345,20-4-2018 10:37:27,24
1,346,20-4-2018 10:37:29,24
1,347,20-4-2018 10:37:31,24
1,348,20-4-2018 10:37:33,24
1,349,20-4-2018 10:37:35,24
1,350,20-4-2018 10:37:37,24
1,351,20-4-2018 10:37:39,24
1,352,20-4-2018 10:37:41,24
1,353,20-4-2018 10:37:43,24
1,354,20-4-2018 10:37:45,24
1,355,20-4-2018 10:37:47,24
1,356,20-4-2018 10:37:49,24
1,357,20-4-2018 10:37:51,24
1,358,20-4-2018 10:37:53,24
1,359,20-4-2018 10:37:55,24
1,360,20-4-2018 10:37:57,24.06
1,361,20-4-2018 10:37:59,24.06
1,362,20-4-2018 10:38:01,24.06
1,363,20-4-2018 10:38:03,24.06
1,364,20-4-2018 10:38:05,24.06
1,365,20-4-2018 10:38:07,24.06
1,366,20-4-2018 10:38:09,24.06
1,367,20-4-2018 10:38:11,24.06
1,368,20-4-2018 10:38:13,24.06
1,369,20-4-2018 10:38:15,24.06
1,370,20-4-2018 10:38:17,24.06
1,371,20-4-2018 10:38:19,24.06
1,372,20-4-2018 10:38:21,24.06
1,373,20-4-2018 10:38:23,24.06
1,374,20-4-2018 10:38:25,24
1,375,20-4-2018 10:38:27,24.06
1,376,20-4-2018 10:38:29,24
1,377,20-4-2018 10:38:31,24
1,378,20-4-2018 10:38:33,24
1,379,20-4-2018 10:38:35,24
1,380,20-4-2018 10:38:37,24
1,381,20-4-2018 10:38:39,24
1,382,20-4-2018 10:38:41,24
1,383,20-4-2018 10:38:43,-127
1,384,20-4-2018 10:38:45,24
1,385,20-4-2018 10:38:47,24
1,386,20-4-2018 10:38:49,24
1,387,20-4-2018 10:38:51,24
1,388,20-4-2018 10:38:54,24
1,389,20-4-2018 10:38:56,-127
1,390,20-4-2018 10:38:58,24
1,391,20-4-2018 10:39:00,-127
1,392,20-4-2018 10:39:02,24
1,393,20-4-2018 10:39:04,23.94
1,394,20-4-2018 10:39:06,24
1,395,20-4-2018 10:39:08,24
1,396,20-4-2018 10:39:10,23.94
1,397,20-4-2018 10:39:12,-127
1,398,20-4-2018 10:39:14,23.94
1,399,20-4-2018 10:39:16,23.94
1,400,20-4-2018 10:39:18,23.94
1,401,20-4-2018 10:39:20,23.94
1,402,20-4-2018 10:39:22,23.94
1,403,20-4-2018 10:39:24,23.94
1,404,20-4-2018 10:39:26,23.94
1,405,20-4-2018 10:39:28,23.94
1,406,20-4-2018 10:39:30,23.94
1,407,20-4-2018 10:39:32,23.94
1,408,20-4-2018 10:39:34,23.94
1,409,20-4-2018 10:39:36,23.94
1,410,20-4-2018 10:39:38,23.94
1,411,20-4-2018 10:39:40,23.94
1,412,20-4-2018 10:39:42,23.94
1,413,20-4-2018 10:39:44,23.94
1,414,20-4-2018 10:39:46,23.94
1,415,20-4-2018 10:39:48,23.94
1,416,20-4-2018 10:39:50,-127
1,417,20-4-2018 10:39:52,23.94
1,418,20-4-2018 10:39:54,23.94
1,419,20-4-2018 10:39:56,23.94
1,420,20-4-2018 10:39:58,23.94
1,421,20-4-2018 10:40:00,23.94
1,422,20-4-2018 10:40:02,23.94
1,423,20-4-2018 10:40:04,23.94
1,424,20-4-2018 10:40:06,-127
1,425,20-4-2018 10:40:08,23.94
1,426,20-4-2018 10:40:10,23.94
1,427,20-4-2018 10:40:12,23.94
1,428,20-4-2018 10:40:14,-127
1,429,20-4-2018 10:40:16,23.94
1,430,20-4-2018 10:40:18,24
1,431,20-4-2018 10:40:20,24
1,432,20-4-2018 10:40:22,23.94
1,433,20-4-2018 10:40:24,23.94
1,434,20-4-2018 10:40:26,23.94
1,435,20-4-2018 10:40:28,23.94
1,436,20-4-2018 10:40:30,23.94
1,437,20-4-2018 10:40:32,23.94
1,438,20-4-2018 10:40:34,23.94
1,439,20-4-2018 10:40:37,-127
1,440,20-4-2018 10:40:38,23.94
1,441,20-4-2018 10:40:40,23.94
1,442,20-4-2018 10:40:43,23.94
1,443,20-4-2018 10:40:45,-127
1,444,20-4-2018 10:40:47,23.94
1,445,20-4-2018 10:40:49,23.94
1,446,20-4-2018 10:40:51,23.94
1,447,20-4-2018 10:40:53,23.94
1,448,20-4-2018 10:40:55,23.94
1,449,20-4-2018 10:40:57,23.94
1,450,20-4-2018 10:40:59,23.94
1,451,20-4-2018 10:41:01,23.94
1,452,20-4-2018 10:41:03,23.94
1,453,20-4-2018 10:41:05,23.94
1,454,20-4-2018 10:41:07,-127
1,455,20-4-2018 10:41:09,23.94
1,456,20-4-2018 10:41:11,23.94
1,457,20-4-2018 10:41:13,23.94
1,458,20-4-2018 10:41:15,23.94
1,459,20-4-2018 10:41:17,23.94
1,460,20-4-2018 10:41:19,23.94
1,461,20-4-2018 10:41:21,23.94
1,462,20-4-2018 10:41:23,23.94
1,463,20-4-2018 10:41:25,23.94
1,464,20-4-2018 10:41:27,23.94
1,465,20-4-2018 10:41:29,23.94
1,466,20-4-2018 10:41:31,23.94
1,467,20-4-2018 10:41:33,23.94
1,468,20-4-2018 10:41:35,23.94
1,469,20-4-2018 10:41:37,23.94
1,470,20-4-2018 10:41:39,23.94
1,471,20-4-2018 10:41:41,23.94
1,472,20-4-2018 10:41:43,23.94
1,473,20-4-2018 10:41:45,23.94
1,474,20-4-2018 10:41:47,23.94
1,475,20-4-2018 10:41:49,23.94
1,476,20-4-2018 10:41:51,23.94
1,477,20-4-2018 10:41:53,23.94
1,478,20-4-2018 10:41:55,23.94
1,479,20-4-2018 10:41:57,23.94
1,480,20-4-2018 10:41:59,23.94
1,481,20-4-2018 10:42:01,23.94
1,482,20-4-2018 10:42:03,23.94
1,483,20-4-2018 10:42:05,23.94
1,484,20-4-2018 10:42:07,23.94
1,485,20-4-2018 10:42:09,-127
1,486,20-4-2018 10:42:11,23.94
1,487,20-4-2018 10:42:13,-127
1,488,20-4-2018 10:42:15,23.94
1,489,20-4-2018 10:42:17,23.94
1,490,20-4-2018 10:42:19,23.94
1,491,20-4-2018 10:42:21,23.94
1,492,20-4-2018 10:42:23,-127
1,493,20-4-2018 10:42:25,23.94
1,494,20-4-2018 10:42:27,23.94
1,495,20-4-2018 10:42:29,23.94
1,496,20-4-2018 10:42:31,23.94
1,497,20-4-2018 10:42:33,23.94
1,498,20-4-2018 10:42:35,23.88
1,499,20-4-2018 10:42:37,23.88
1,500,20-4-2018 10:42:39,23.88
1,501,20-4-2018 10:42:41,23.88
1,502,20-4-2018 10:42:43,23.88
1,503,20-4-2018 10:42:46,23.88
1,504,20-4-2018 10:42:48,23.88
1,505,20-4-2018 10:42:50,23.88
1,506,20-4-2018 10:42:52,-127
1,507,20-4-2018 10:42:54,23.88
1,508,20-4-2018 10:42:56,23.88
1,509,20-4-2018 10:42:58,23.88
1,510,20-4-2018 10:43:00,23.88
1,511,20-4-2018 10:43:02,-127
1,512,20-4-2018 10:43:04,23.88
1,513,20-4-2018 10:43:06,23.88
1,514,20-4-2018 10:43:08,23.88
1,515,20-4-2018 10:43:10,23.88
1,516,20-4-2018 10:43:12,23.88
1,517,20-4-2018 10:43:14,-127
1,518,20-4-2018 10:43:16,23.88
1,519,20-4-2018 10:43:18,-127
1,520,20-4-2018 10:43:20,23.88
1,521,20-4-2018 10:43:22,23.88
1,522,20-4-2018 10:43:24,-127
1,523,20-4-2018 10:43:26,23.88
1,524,20-4-2018 10:43:28,23.88
1,525,20-4-2018 10:43:30,23.88
1,526,20-4-2018 10:43:32,23.88
1,527,20-4-2018 10:43:34,-127
1,528,20-4-2018 10:43:36,23.81
1,529,20-4-2018 10:43:38,23.81
1,530,20-4-2018 10:43:40,23.81
1,531,20-4-2018 10:43:42,23.81
1,532,20-4-2018 10:43:44,23.81
1,533,20-4-2018 10:43:46,23.81
1,534,20-4-2018 10:43:48,23.81
1,535,20-4-2018 10:43:50,-127
1,536,20-4-2018 10:43:52,23.81
1,537,20-4-2018 10:43:54,23.81
1,538,20-4-2018 10:43:56,23.81
1,539,20-4-2018 10:43:58,-127
1,540,20-4-2018 10:44:00,23.81
1,541,20-4-2018 10:44:02,23.81
1,542,20-4-2018 10:44:04,23.81
1,543,20-4-2018 10:44:06,23.81
1,544,20-4-2018 10:44:08,23.81
1,545,20-4-2018 10:44:10,23.81
1,546,20-4-2018 10:44:12,23.81
1,547,20-4-2018 10:44:14,23.81
1,548,20-4-2018 10:44:16,23.81
1,549,20-4-2018 10:44:18,23.81
1,550,20-4-2018 10:44:20,23.81
1,551,20-4-2018 10:44:22,23.81
1,552,20-4-2018 10:44:24,23.81
1,553,20-4-2018 10:44:26,23.81
1,554,20-4-2018 10:44:28,23.81
1,555,20-4-2018 10:44:30,23.81
1,556,20-4-2018 10:44:32,23.81
1,557,20-4-2018 10:44:34,23.75
1,558,20-4-2018 10:44:36,23.75
